Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Home Ownership,Years in current job,Term,Annual_Income_nan,Years_in_current_job_nan,Months_since_last_delinquent_nan,Bankruptcies_nan,Credit_Score_nan,Home Mortgage,Own Home,Rent,median_loan_amount,annual_income_cat,Id,Credit Default
-0.11117513785528754,-0.4438636267628653,1.0809683296542372,-0.3883397591665246,-0.34740757081851814,-0.7636129627302803,-0.340565810526608,-0.36537594373928833,-0.5084548812253398,-0.7919716552241888,0.313488430821623,Home Mortgage,10.0,Short Term,0,0,1,0,1,1,0,0,250118.0,2,5312,0
-0.11117513785528754,-1.2545381929500428,0.6130827263709124,-0.3428741708596714,-0.34740757081851814,-0.7636129627302803,-0.340565810526608,-0.3652201221824386,-0.3355088675148859,0.05744251752052609,-0.9805876133172515,Home Mortgage,10.0,Short Term,0,0,1,0,0,1,0,0,250118.0,1,3058,0
-0.11117513785528754,-0.2411949852160709,-0.35104518342502905,0.06605482741748508,-0.34740757081851814,-0.7636129627302803,-0.340565810526608,-0.3595903728092916,0.12463196343391715,0.3476770449220392,0.313488430821623,Home Mortgage,2.0,Short Term,0,0,1,0,1,0,0,1,250118.0,2,3060,0
-0.11117513785528754,-0.4438636267628653,-0.49282869957149106,-0.28764262644380306,-0.34740757081851814,-0.7636129627302803,-0.340565810526608,-0.3533185551460897,-0.4671843883209899,3.114052848363682,0.8144210930689293,Home Mortgage,10.0,Short Term,0,0,1,0,0,1,0,0,250118.0,3,4568,1
-0.11117513785528754,-1.0518695514032486,-1.3718864996795557,-0.3004624852156708,-0.34740757081851814,-0.7636129627302803,-0.340565810526608,-0.3619158704188839,-0.3713059871224698,-0.7744245247709741,-0.6048881166317719,Home Mortgage,0.5,Short Term,0,0,1,0,0,0,0,1,250118.0,1,2268,0
-0.11117513785528754,-1.0518695514032486,2.030917887835533,0.32155379618929475,-0.34740757081851814,0.5051457073338239,-0.340565810526608,-0.3532302098884115,0.9840144833629094,-0.27212752032824084,0.313488430821623,Home Mortgage,10.0,Long Term,0,0,0,0,1,1,0,0,437063.0,2,7182,1
-0.11117513785528754,1.5828227887050785,0.23026723277546512,-0.24124616941083976,1.6634962293989242,1.0488994230755828,2.4751357725673953,-0.35941089976613433,-0.30990354645990054,-0.8459436346750719,0.313488430821623,Home Mortgage,0.5,Short Term,0,0,0,0,1,1,0,0,250118.0,2,3367,0
3.678886379938606,0.772148222517901,-0.6913256221765379,-0.061016919211690425,1.6634962293989242,1.0488994230755828,-0.340565810526608,-0.3536253288361376,0.08518592829515594,1.5156007420070967,-1.5650090526057756,Home Mortgage,8.0,Short Term,0,0,0,0,0,0,0,1,250118.0,3,3840,1
-0.11117513785528754,-0.03852634366927652,-1.1166761706159238,-0.16094649351112816,-0.34740757081851814,-0.7636129627302803,-0.340565810526608,-0.3579479857748174,-0.15079824683322254,-0.15320620967375262,0.6891879275071027,Home Mortgage,8.0,Short Term,0,0,1,0,0,0,0,1,250118.0,2,4820,0
-0.11117513785528754,-1.0518695514032486,1.4637838232496845,-0.29352179734555134,-0.34740757081851814,2.9067246185265923,-0.340565810526608,-0.36348521609858486,-0.8700749928323565,-1.410861441161742,0.313488430821623,Home Mortgage,2.0,Short Term,0,0,0,0,1,0,0,1,250118.0,2,1745,0
